Signatur;Titel;Spalte2
 Cod. 5584;Descriptio brevis collegiorum societatis Iesu;Cod.
 Cod. 7438;Chronologia collegii Societatis Iesu Lincii in Austria superiori ab a. 1600 usque ad a. 1684;Cod.
 Cod. 7567;'Diarium personarum ordinis Lecturae ... apud patres Societatis Iesu in universitate Viennensi' a. 1742-1773;Cod.
 Cod. 7615;Excerpta ex albis sodalitatis BMV in collegio academico Societatis Iesu Vindobonae a. 1672-1770;Cod.
 Cod. 7640;De fundandis societatis Iesu collegio in Carinthia haeresi infecta;Cod.
 Cod. 7981;Helden und Liebes Opffer der österreichischen Provinz Societatis Iesu d. i. deren die sich durch 200 Jahre zum Dienste deren pesthafften gewidmet ... beschrieben in d. J. 1751;Cod.
 Cod. 8047;Diarium sodalitatis BMV in domo professa Societatis Iesu ab a. 1716-1783;Cod.
 Cod. 8096;Inventarium utensilium ecclesiasticorum fraternitatis coelibum ad S. Mariae Purificationem quae in domo professorum Societatis Iesu Viennae asservata fuerunt a. 1752;Cod.
 Cod. 8248;Historia missionis Nastasoviensis Societatis Iesu ab ipsa loci origine a. 1753 cum documentis;Cod.
 Cod. 8342;Historia collegii Societatis Iesu Viennensis pars III a. 1728-1770;Cod.
 Cod. 8367;Historia collegii Societatis Iesu Viennensis pars I a. 1552-1638;Cod.
 Cod. 8368;Historia collegii Societatis Iesu Viennensis pars II a. 1648-1727;Cod.
 Cod. 8716;Collectio epistolarum germanicarum a patribus Societatis Iesu provinciae Bohemiae ad varios missarum a. 1695-1712;Cod.
 Cod. 10074;Elenchus ex fundatione et privilegio collegii Societatis Iesu et universitate Graecensi ab archiduce Carolo Styriensi datis 1573;Cod.
 Cod. 11537;Letzte Anrede eines christlichen Vaters Societatis Iesu aus dem Lateinischen a. 1773;Cod.
 Cod. 11633;Summarium constitutionum Societatis Iesu;Cod.
 Cod. 11715;Summarium Societatis Iesu explicatum a. 1714;Cod.
 Cod. 11895;Catalogus bibliothecae collegii Societatis Iesu Neostadiensis;Cod.
 Cod. 11947;Liber expositi collegii Societatis Iesu Hradistii a. 1750-1773;Cod.
 Cod. 11948;Rationes triennales et informationes collegii Societatis Iesu Brunensis in Moravia a. 1649-1699;Cod.
 Cod. 11949;Diarium collegii Societatis Iesu Brunensis in Moravia a. 1658-1679;Cod.
 Cod. 11950;Liber primus consultationum ut videtur collegii Societatis Iesu Hradistii a. 1680-1762;Cod.
 Cod. 11951;Volumen II epistolarum, quas patres generales Societatis Iesu communiter scribere solent a. 1755-1773 provinciae Bohemiae;Cod.
 Cod. 11952;Responsa generalium ad quaesita provinciae Bohemiae Societatis Iesu a. 1646-1758;Cod.
 Cod. 11953;Ordinationes maioris momenti a. 1579-1709 provinciae Bohemiae Societatis Iesu;Cod.
